text,label
"Hey, How do I answer 'tell me about yourself' in an interview? Please guide me.",general
gradient descent interview questions,aiml
Revise heaps with me.,dsa
Write recursion code for me.,dsa
"Honestly, Give me tips for group discussions.",general
"Quick question - I have 2 months before placements, what should I focus on? I'm not sure.",general
Give me a problem on normalization.,dbms
Quick question - Give me tips for group discussions. Any advice?,general
Give me a problem on gradient.,maths
Can you help me: Can you review my overall progress? Thanks!,general
Tell me about batch normalization.,aiml
Walk me through k-means clustering step by step.,aiml
How does decision trees work?,aiml
I keep forgetting what I studied last week. I'm not sure.,general
Should I do an internship or prepare for placements? Thanks!,general
two pointers interview questions,dsa
How do I solve questions about big O notation?,dsa
Quick question - Am I on track for my goals? Thanks!,general
Give me a problem on backtracking.,dsa
How is dynamic programming related to queues?,dsa
Help me with left joins.,dbms
"Hey, What are good behavioral interview answers? Please guide me.",general
What are common mistakes in linear regression?,aiml
Summarize neural networks for revision.,aiml
How do I solve questions about relational algebra?,dbms
What are the steps for logarithms?,maths
Tell me about primary keys.,dbms
How is primary keys related to query optimization?,dbms
What are the steps for integrals?,maths
"Honestly, I don't know where to start. Any advice?",general
What are the steps for matrix multiplication?,maths
join queries explained simply,dbms
Can you help me: Give me a roadmap to crack placements. I'm not sure.,general
I don't understand dynamic programming.,dsa
"Hey, Tell me what to study today. Any advice?",general
Quick question - Can you review my overall progress? Thanks!,general
Explain stored procedures.,dbms
Quick question - How do I negotiate a job offer? I'm not sure.,general
convolutional neural networks explained simply,aiml
Can you explain vectors with an example?,maths
"I'm stuck on stacks, can you help?",dsa
Help me with conditional probability.,maths
Revise SQL queries with me.,dbms
Compare naive bayes and logistic regression.,aiml
Debug my big O notation solution.,dsa
Explain relational algebra.,dbms
Quick question - Can you summarize what I've learned so far?,general
Break down inner joins for me.,dbms
Quiz me on derivatives.,maths
Break down B-tree indexes for me.,dbms
arrays vs dynamic programming,dsa
What are good behavioral interview answers?,general
What's the difference between naive bayes and bias variance tradeoff?,aiml
Break down chain rule for me.,maths
Give me a problem on views.,dbms
Give me practice problems on linked lists.,dsa
What's the difference between probability and variance?,maths
I don't understand hash maps.,dsa
What is first normal form?,dbms
concurrency control vs primary keys,dbms
Give me practice problems on backtracking.,dsa
Quiz me on normal distribution.,maths
How important is CGPA for placements?,general
"Honestly, How should I prepare for technical interviews? Please guide me.",general
How do I solve questions about discrete mathematics?,maths
Compare ensemble methods and batch normalization.,aiml
Explain time complexity.,dsa
Compare vectors and expected value.,maths
"Honestly, What should I learn first to become a data scientist? Please guide me.",general
Walk me through batch normalization step by step.,aiml
heaps interview questions,dsa
Need help understanding GROUP BY clauses,dbms
Quick question - Help me plan my week. Any advice?,general
Help me with tree traversal.,dsa
"Quick question - I have 2 months before placements, what should I focus on?",general
How does batch normalization work?,aiml
Give me a problem on gradient descent.,aiml
What is tree traversal?,dsa
I don't understand third normal form.,dbms
Need help understanding embeddings,aiml
"I'm stuck on confusion matrices, can you help?",aiml
What are common mistakes in SQL joins?,dbms
Tell me about GROUP BY clauses.,dbms
Quiz me on quicksort.,dsa
SQL joins interview questions,dbms
Can you help me: How do I negotiate a job offer?,general
Can you help me: How do I explain my project in an interview? Thanks!,general
"I'm stuck on convolutional neural networks, can you help?",aiml
"Hey, I failed my last mock interview, what now? Any advice?",general
Can you help me: What should my daily routine look like? Please guide me.,general
Give me a problem on k-means clustering.,aiml
Can you help me: Tell me what to study today. Any advice?,general
Help me with deadlocks.,dbms
Help me with queues.,dsa
Give me a problem on embeddings.,aiml
Am I on track for my goals? Thanks!,general
Why is hash maps important?,dsa
Why is regularization important?,aiml
Teach me relational algebra.,dbms
How does ER diagrams work?,dbms
How is B-tree indexes related to views?,dbms
Help me with backpropagation.,aiml
What should my daily routine look like? I'm not sure.,general
Give me a problem on tree traversal.,dsa
Explain two pointers.,dsa
Tell me about Bayes theorem.,maths
Can you help me: How do I prepare for HR rounds?,general
"Honestly, What topics are most important for product company interviews? Any advice?",general
What's the difference between denormalization and deadlocks?,dbms
Tell me about ensemble methods.,aiml
Tell me about big O notation.,dsa
I don't understand activation functions.,aiml
How do I solve questions about chain rule?,maths
What are common mistakes in confusion matrices?,aiml
So What are good behavioral interview answers? Any advice?,general
SQL queries explained simply,dbms
"Can you help me: I failed my last mock interview, what now? I'm not sure.",general
"My answer for quicksort was wrong, why?",dsa
Can you help me: I'm feeling overwhelmed with placement prep. Please guide me.,general
Is inner joins asked in placement interviews?,dbms
Explain backtracking.,dsa
How does integrals work?,maths
Need help understanding recursion,dsa
How do I solve questions about derivatives?,maths
Summarize subqueries for revision.,dbms
What is space complexity?,dsa
"I'm stuck on random forests, can you help?",aiml
Quiz me on query optimization.,dbms
Debug my neural networks solution.,aiml
Help me with gradient.,maths
"I'm stuck on triggers, can you help?",dbms
Quick question - Give me a roadmap to crack placements. Any advice?,general
Help me with precision and recall.,aiml
Explain feature engineering.,aiml
What's the difference between ensemble methods and regularization?,aiml
Help me with linked list cycle detection.,dsa
So What certifications actually matter?,general
Why is left joins important?,dbms
What are the steps for triggers?,dbms
Quick question - I'm feeling overwhelmed with placement prep.,general
"Hey, How should I prepare for technical interviews? I'm not sure.",general
"Hey, I keep forgetting what I studied last week. Thanks!",general
Revise big O notation with me.,dsa
Break down conditional probability for me.,maths
"I'm stuck on normal distribution, can you help?",maths
"I'm stuck on standard deviation, can you help?",maths
B-tree indexes vs ACID properties,dbms
Show me how to implement vectors.,maths
So What topics are most important for product company interviews? Any advice?,general
Why is determinants important?,maths
Can you explain primary keys with an example?,dbms
Break down Bayes theorem for me.,maths
What's the difference between arrays and stacks?,dsa
Summarize integrals for revision.,maths
I don't understand transformers.,aiml
"Hey, I have 2 months before placements, what should I focus on? Please guide me.",general
Need help understanding bias variance tradeoff,aiml
"Hey, What topics are most important for product company interviews? I'm not sure.",general
How does triggers work?,dbms
Compare time complexity and binary search.,dsa
Can you help me: What certifications actually matter? Please guide me.,general
Revise random forests with me.,aiml
Quiz me on stacks.,dsa
Break down naive bayes for me.,aiml
tree traversal vs queues,dsa
What are the steps for first normal form?,dbms
Revise discrete mathematics with me.,maths
Explain Bayes theorem.,maths
denormalization explained simply,dbms
Teach me linear algebra.,maths
How does database schema design work?,dbms
"Hey, How do I improve my problem solving speed?",general
Write subqueries code for me.,dbms
Explain transactions.,dbms
Can you help me: What should I revise the night before an interview?,general
Can you help me: What topics are most important for product company interviews? Please guide me.,general
Can you explain random forests with an example?,aiml
Break down sliding window for me.,dsa
Revise foreign keys with me.,dbms
What is cross validation?,aiml
Is discrete mathematics asked in placement interviews?,maths
What is batch normalization?,aiml
Quiz me on conditional probability.,maths
Need help understanding loss functions,aiml
Summarize graphs for revision.,dsa
Is transformers asked in placement interviews?,aiml
Compare queues and sliding window.,dsa
"Quick question - I failed my last mock interview, what now?",general
Quick question - What's the difference between service and product companies? I'm not sure.,general
Help me with dynamic programming.,dsa
Is tries asked in placement interviews?,dsa
Give me a problem on loss functions.,aiml
Quick question - How do I negotiate a job offer? Please guide me.,general
Can you summarize what I've learned so far? I'm not sure.,general
breadth first search explained simply,dsa
Why is quicksort important?,dsa
triggers interview questions,dbms
"My answer for support vector machines was wrong, why?",aiml
Show me how to implement views.,dbms
"Hey, Give me tips for group discussions. Any advice?",general
conditional probability explained simply,maths
"I'm stuck on linear algebra, can you help?",maths
So What should I learn first to become a data scientist? Any advice?,general
What are common mistakes in linked lists?,dsa
Summarize indexing for revision.,dbms
Show me how to implement decision trees.,aiml
What is hypothesis testing?,maths
Need help understanding stored procedures,dbms
Debug my stacks solution.,dsa
Walk me through backtracking step by step.,dsa
Write logistic regression code for me.,aiml
Tell me about ACID properties.,dbms
"Honestly, What are good behavioral interview answers? Any advice?",general
Give me a problem on merge sort.,dsa
Tell me about binary search.,dsa
Write conditional probability code for me.,maths
precision and recall interview questions,aiml
Quiz me on breadth first search.,dsa
Debug my backtracking solution.,dsa
"Honestly, What certifications actually matter? Any advice?",general
Teach me subqueries.,dbms
"My answer for ensemble methods was wrong, why?",aiml
How is binary trees related to dynamic programming?,dsa
"My answer for eigenvalues was wrong, why?",maths
Give me a problem on relational algebra.,dbms
What's the difference between partial derivatives and gradient?,maths
Help me with matrix multiplication.,maths
I don't understand primary keys.,dbms
Give me a roadmap to crack placements. Please guide me.,general
Give me a problem on overfitting.,aiml
Explain chain rule.,maths
Need help understanding activation functions,aiml
Break down batch normalization for me.,aiml
Tell me about linked lists.,dsa
"I'm stuck on vectors, can you help?",maths
"Honestly, Give me a roadmap to crack placements. Any advice?",general
primary keys vs SQL joins,dbms
Revise gradient with me.,maths
transformers explained simply,aiml
"Hey, How do I explain my project in an interview? Please guide me.",general
Tell me about permutations.,maths
Need help understanding cross validation,aiml
Quick question - What topics are most important for product company interviews? I'm not sure.,general
Can you explain linear algebra with an example?,maths
Teach me Bayes theorem.,maths
Compare derivatives and hypothesis testing.,maths
How do I solve questions about gradient?,maths
What is SQL joins?,dbms
How do I negotiate a job offer? Please guide me.,general
Debug my primary keys solution.,dbms
How does backpropagation work?,aiml
Show me how to implement standard deviation.,maths
Give me a problem on variance.,maths
gradient vs Bayes theorem,maths
views vs SQL queries,dbms
I don't understand foreign keys.,dbms
How is logarithms related to permutations?,maths
Walk me through linked list cycle detection step by step.,dsa
Walk me through heaps step by step.,dsa
So Should I do an internship or prepare for placements? Please guide me.,general
Quick question - Give me tips for group discussions.,general
What are good behavioral interview answers? I'm not sure.,general
What's the difference between transactions and denormalization?,dbms
Quiz me on normalization.,dbms
Walk me through backpropagation step by step.,aiml
I don't understand variance.,maths
Show me how to implement batch normalization.,aiml
What are common mistakes in random forests?,aiml
Show me how to implement graph theory.,maths
Debug my space complexity solution.,dsa
How do I negotiate a job offer? I'm not sure.,general
"My answer for binary search was wrong, why?",dsa
What's the difference between SQL joins and database schema design?,dbms
What is permutations?,maths
Quick question - What should I revise the night before an interview?,general
Give me practice problems on linear regression.,aiml
Give me a problem on decision trees.,aiml
Debug my binary search solution.,dsa
Break down third normal form for me.,dbms
What is standard deviation?,maths
I don't understand triggers.,dbms
Help me with bias variance tradeoff.,aiml
What are the steps for eigenvalues?,maths
"Hey, What's the difference between service and product companies? I'm not sure.",general
limits explained simply,maths
"Honestly, What's the difference between service and product companies? Any advice?",general
Quiz me on concurrency control.,dbms
Is join queries asked in placement interviews?,dbms
loss functions explained simply,aiml
Break down indexing for me.,dbms
Show me how to implement set theory.,maths
Walk me through combinations step by step.,maths
So What are my weakest areas right now? Please guide me.,general
Summarize stored procedures for revision.,dbms
What are common mistakes in hypothesis testing?,maths
logarithms interview questions,maths
"My answer for determinants was wrong, why?",maths
Quiz me on space complexity.,dsa
Quick question - Should I focus on projects or DSA first?,general
Give me practice problems on random forests.,aiml
What's the difference between big O notation and merge sort?,dsa
Give me a problem on learning rate.,aiml
"I'm stuck on linked list cycle detection, can you help?",dsa
What are the steps for linked list cycle detection?,dsa
Tell me about set theory.,maths
Debug my set theory solution.,maths
Revise quicksort with me.,dsa
Quiz me on overfitting.,aiml
How do I solve questions about loss functions?,aiml
Give me practice problems on combinations.,maths
Compare space complexity and two pointers.,dsa
Explain binary search.,dsa
What are common mistakes in loss functions?,aiml
Help me with learning rate.,aiml
limits vs vectors,maths
What are common mistakes in logarithms?,maths
How do I solve questions about limits?,maths
Give me a problem on triggers.,dbms
Give me a problem on recursion.,dsa
Quick question - What should my daily routine look like? Thanks!,general
Compare linked lists and heaps.,dsa
Revise database schema design with me.,dbms
Show me how to implement neural networks.,aiml
naive bayes interview questions,aiml
Write hash maps code for me.,dsa
"I'm stuck on precision and recall, can you help?",aiml
Can you help me: I keep forgetting what I studied last week. Any advice?,general
Help me with integrals.,maths
Tell me about first normal form.,dbms
What are common mistakes in stacks?,dsa
"Honestly, What should I revise the night before an interview? Thanks!",general
combinations interview questions,maths
"I'm stuck on feature engineering, can you help?",aiml
How does space complexity work?,dsa
Debug my Bayes theorem solution.,maths
Why is big O notation important?,dsa
Teach me precision and recall.,aiml
What's the difference between learning rate and precision and recall?,aiml
confusion matrices interview questions,aiml
recursion explained simply,dsa
How do I solve questions about feature engineering?,aiml
Why is combinations important?,maths
So What should I revise the night before an interview? Any advice?,general
Can you explain chain rule with an example?,maths
Need help understanding ACID properties,dbms
Quick question - Which companies should I apply to?,general
What's the difference between database schema design and primary keys?,dbms
Revise learning rate with me.,aiml
How do I explain my project in an interview? Thanks!,general
Summarize naive bayes for revision.,aiml
Need help understanding conditional probability,maths
Revise feature engineering with me.,aiml
Teach me ensemble methods.,aiml
Break down gradient descent for me.,aiml
Teach me stacks.,dsa
Revise inner joins with me.,dbms
"I'm stuck on big O notation, can you help?",dsa
What are the steps for arrays?,dsa
"My answer for two pointers was wrong, why?",dsa
"Honestly, What should my daily routine look like? I'm not sure.",general
"Honestly, What's the best way to take notes while studying? I'm not sure.",general
Build me a study plan for the next 4 weeks.,general
Can you explain backpropagation with an example?,aiml
"Honestly, How do I handle interview rejection? Thanks!",general
Quick question - What certifications actually matter? Any advice?,general
I don't understand learning rate.,aiml
Explain linear algebra.,maths
Give me practice problems on stacks.,dsa
Show me how to implement quicksort.,dsa
What is database schema design?,dbms
Teach me backtracking.,dsa
"I'm stuck on Bayes theorem, can you help?",maths
What are common mistakes in precision and recall?,aiml
Need help understanding greedy algorithms,dsa
Can you help me: What's a good resume format for freshers? Thanks!,general
"Honestly, What should my daily routine look like?",general
How is confusion matrices related to feature engineering?,aiml
What are common mistakes in gradient?,maths
Can you explain feature engineering with an example?,aiml
Need help understanding convolutional neural networks,aiml
Debug my linked lists solution.,dsa
Can you help me: How do I balance college exams and placement prep?,general
"My answer for normal distribution was wrong, why?",maths
Give me a problem on precision and recall.,aiml
Break down feature engineering for me.,aiml
Explain binary trees.,dsa
Need help understanding confusion matrices,aiml
Summarize triggers for revision.,dbms
Tell me about depth first search.,dsa
How is tries related to binary trees?,dsa
Help me with heaps.,dsa
Can you help me: What's the best way to take notes while studying?,general
Can you help me: What are my weakest areas right now? Any advice?,general
Why is linear regression important?,aiml
So Help me set realistic study goals. Any advice?,general
How many hours a day should I study? Thanks!,general
How does GROUP BY clauses work?,dbms
So What's the best way to take notes while studying?,general
Need help understanding hypothesis testing,maths
Summarize stacks for revision.,dsa
"Honestly, How do I answer 'tell me about yourself' in an interview?",general
Quiz me on binary trees.,dsa
I don't understand overfitting.,aiml
How is gradient related to chain rule?,maths
"Honestly, What's a good resume format for freshers? Any advice?",general
Help me with denormalization.,dbms
Quiz me on subqueries.,dbms
Help me with chain rule.,maths
Walk me through set theory step by step.,maths
Quick question - What's the difference between service and product companies? Please guide me.,general
Why is neural networks important?,aiml
Quiz me on triggers.,dbms
How is limits related to matrix multiplication?,maths
Write linked lists code for me.,dsa
Walk me through gradient descent step by step.,aiml
Need help understanding random forests,aiml
"Hey, What's the difference between service and product companies?",general
Explain SQL queries.,dbms
"Honestly, What's the best way to take notes while studying?",general
What are common mistakes in ER diagrams?,dbms
Need help understanding binary search,dsa
What are common mistakes in graph theory?,maths
"I'm stuck on derivatives, can you help?",maths
So How should I prepare for technical interviews? I'm not sure.,general
"Honestly, How do I explain my project in an interview? Thanks!",general
Can you help me: What's a good resume format for freshers? Please guide me.,general
"I'm stuck on third normal form, can you help?",dbms
How does k-means clustering work?,aiml
Debug my partial derivatives solution.,maths
Give me practice problems on neural networks.,aiml
What is dynamic programming?,dsa
Need help understanding triggers,dbms
Explain convolutional neural networks.,aiml
How do I solve questions about greedy algorithms?,dsa
Give me a problem on sliding window.,dsa
Quiz me on gradient.,maths
Give me a problem on partial derivatives.,maths
Tell me about foreign keys.,dbms
"I'm stuck on GROUP BY clauses, can you help?",dbms
How do I solve questions about probability?,maths
What's the difference between stored procedures and GROUP BY clauses?,dbms
Help me with cross validation.,aiml
Compare stacks and merge sort.,dsa
What is concurrency control?,dbms
I don't understand ER diagrams.,dbms
